,frame,time,stress_cell_nearest_pair_distance,stress_cell_nearest_pair_anisotropy
292,21,63,5.506884662349412,0.6218059787150224
293,21,63,5.043932839370481,1.264078272557301
294,21,63,6.72757555438126,0.9469459782702772
295,21,63,0.0,0.0
296,21,63,0.0,0.0
297,21,63,0.0,0.0
298,21,63,5.639155722166343,0.6228927477179078
299,21,63,5.500962234818506,0.8033706449220495
300,21,63,5.788349866057421,0.4294585770427028
301,21,63,0.0,0.0
302,21,63,0.0,0.0
303,21,63,0.0,0.0
304,24,72,0.0,0.0
305,24,72,0.0,0.0
306,24,72,0.0,0.0
307,24,72,0.0,0.0
308,24,72,0.0,0.0
309,24,72,0.0,0.0
310,24,72,5.041527405244327,0.4607986375407881
311,24,72,0.0,0.0
312,24,72,0.0,0.0
313,24,72,5.434074760975292,1.1200624525557856
314,24,72,0.0,0.0
315,24,72,5.249559203067335,0.9531546750516013
316,24,72,0.0,0.0
317,24,72,5.454919587708898,0.8338839364544932
318,24,72,5.041527405244327,0.4607986375407881
319,24,72,0.0,0.0
320,24,72,0.0,0.0
321,24,72,0.0,0.0
322,24,72,0.0,0.0
323,24,72,5.081120046025784,1.352898332447682
324,24,72,5.008256976707326,0.9321196870255956
325,24,72,0.0,0.0
326,24,72,0.0,0.0
327,24,72,0.0,0.0
328,24,72,0.0,0.0
329,24,72,0.0,0.0
330,24,72,0.0,0.0
331,24,72,5.081120046025784,1.352898332447682
332,24,72,5.008256976707326,0.9321196870255956
333,24,72,0.0,0.0
334,24,72,5.688645731057731,0.4516695074214587
335,24,72,0.0,0.0
336,24,72,5.648804426736933,0.4726223861400265
337,24,72,5.454919587708898,0.8338839364544932
338,24,72,0.0,0.0
339,24,72,5.93586805184341,0.7460693910955679
340,24,72,0.0,0.0
341,24,72,0.0,0.0
342,27,81,0.0,0.0
343,27,81,0.0,0.0
344,27,81,0.0,0.0
345,27,81,0.0,0.0
346,27,81,11.906840073199383,0.20732388681554162
347,27,81,0.0,0.0
348,27,81,5.083666311557861,0.28233299299415743
349,27,81,0.0,0.0
350,27,81,0.0,0.0
351,27,81,0.0,0.0
352,27,81,0.0,0.0
353,27,81,5.238015547932333,0.9719195687611093
354,27,81,0.0,0.0
355,27,81,5.223883831162009,1.01629229610392
356,27,81,5.083666311557861,0.28233299299415743
357,27,81,0.0,0.0
358,27,81,0.0,0.0
359,27,81,0.0,0.0
360,27,81,0.0,0.0
361,27,81,5.143081531864978,1.3132830236252306
362,27,81,4.963300456458812,0.9415181205530356
363,27,81,5.0951353230239045,1.0523506372422382
